starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 23:08:25 2017	1494364105	0	21	22	21
Tue May 09 23:08:25 2017	1494364105	0	21	22	21
Tue May 09 23:08:25 2017	1494364105	0	21	22	21
Tue May 09 23:08:24 2017	1494364104	0	22	22	21
Tue May 09 23:08:25 2017	1494364105	0	21	22	21
Tue May 09 23:08:24 2017	1494364104	0	22	22	21
Tue May 09 23:08:24 2017	1494364104	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:24 2017	1494364104	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	1	21	22	20
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:24 2017	1494364104	0	22	22	22
Tue May 09 23:08:24 2017	1494364104	0	22	22	22
Tue May 09 23:08:24 2017	1494364104	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:24 2017	1494364104	0	22	22	22
Tue May 09 23:08:24 2017	1494364104	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:24 2017	1494364104	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	22	22
Tue May 09 23:08:25 2017	1494364105	0	22	23	22
Tue May 09 23:08:25 2017	1494364105	0	22	23	22
Tue May 09 23:08:25 2017	1494364105	0	22	23	22
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	22	23	22
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:24 2017	1494364104	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:24 2017	1494364104	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:24 2017	1494364104	0	23	23	23
Tue May 09 23:08:24 2017	1494364104	0	23	23	23
Tue May 09 23:08:24 2017	1494364104	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:24 2017	1494364104	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
