starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	4	8	4
Tue May 09 19:52:24 2017	1494352344	3	4	8	4
Tue May 09 19:52:24 2017	1494352344	3	5	8	3
Tue May 09 19:52:25 2017	1494352345	1	6	8	5
Tue May 09 19:52:24 2017	1494352344	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	0	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	3
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	1	6	8	5
Tue May 09 19:52:25 2017	1494352345	4	3	8	3
Tue May 09 19:52:25 2017	1494352345	1	6	8	5
Tue May 09 19:52:25 2017	1494352345	1	6	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	6	8	4
Tue May 09 19:52:25 2017	1494352345	2	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	5	8	5
Tue May 09 19:52:24 2017	1494352344	4	4	8	3
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	4	3	8	3
Tue May 09 19:52:25 2017	1494352345	3	5	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	3	4	8	4
Tue May 09 19:52:25 2017	1494352345	2	5	8	5
Tue May 09 19:52:24 2017	1494352344	3	4	8	4
Tue May 09 19:52:25 2017	1494352345	0	7	8	7
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	4	3	8	3
Tue May 09 19:52:24 2017	1494352344	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	2	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	5	8	5
Tue May 09 19:52:25 2017	1494352345	2	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	5	8	4
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	5	8	4
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:25 2017	1494352345	0	8	8	7
Tue May 09 19:52:25 2017	1494352345	2	5	8	4
Tue May 09 19:52:24 2017	1494352344	2	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	5	8	5
Tue May 09 19:52:25 2017	1494352345	2	5	8	5
Tue May 09 19:52:24 2017	1494352344	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	2	5	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:25 2017	1494352345	0	7	8	6
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	2	5	8	4
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:25 2017	1494352345	1	6	8	5
Tue May 09 19:52:24 2017	1494352344	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	2	5	8	4
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:24 2017	1494352344	3	4	8	4
Tue May 09 19:52:25 2017	1494352345	1	6	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	0	8	8	7
Tue May 09 19:52:24 2017	1494352344	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	2	5	8	5
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:25 2017	1494352345	0	7	8	7
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:24 2017	1494352344	2	6	8	5
Tue May 09 19:52:24 2017	1494352344	2	6	8	5
Tue May 09 19:52:24 2017	1494352344	2	6	8	5
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	4	4	8	3
Tue May 09 19:52:24 2017	1494352344	3	4	8	4
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:25 2017	1494352345	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	2	5	8	5
Tue May 09 19:52:24 2017	1494352344	2	5	8	5
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:25 2017	1494352345	1	6	8	5
Tue May 09 19:52:25 2017	1494352345	1	6	8	5
Tue May 09 19:52:25 2017	1494352345	0	8	8	7
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	2	6	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:24 2017	1494352344	2	5	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	4	4	8	3
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	2	5	8	5
Tue May 09 19:52:24 2017	1494352344	4	4	8	3
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	4	4	8	3
Tue May 09 19:52:24 2017	1494352344	2	5	8	4
Tue May 09 19:52:25 2017	1494352345	1	6	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	0	7	8	7
Tue May 09 19:52:24 2017	1494352344	3	4	8	3
Tue May 09 19:52:25 2017	1494352345	1	6	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	3	5	8	5
Tue May 09 19:52:24 2017	1494352344	2	5	8	5
Tue May 09 19:52:25 2017	1494352345	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	3	5	8	5
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	2	6	8	6
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	0	8	8	7
Tue May 09 19:52:25 2017	1494352345	3	5	8	5
Tue May 09 19:52:24 2017	1494352344	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	3	5	8	5
Tue May 09 19:52:25 2017	1494352345	0	8	8	7
Tue May 09 19:52:25 2017	1494352345	0	8	8	7
Tue May 09 19:52:25 2017	1494352345	2	6	8	4
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	2	6	8	6
Tue May 09 19:52:24 2017	1494352344	0	7	8	7
Tue May 09 19:52:24 2017	1494352344	2	5	8	4
Tue May 09 19:52:25 2017	1494352345	3	5	8	5
Tue May 09 19:52:24 2017	1494352344	3	5	8	3
Tue May 09 19:52:24 2017	1494352344	2	6	8	4
Tue May 09 19:52:24 2017	1494352344	4	4	8	4
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:24 2017	1494352344	0	7	8	7
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	3
Tue May 09 19:52:24 2017	1494352344	2	6	8	4
Tue May 09 19:52:25 2017	1494352345	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	0	8	8	7
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	2	6	8	6
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	2	6	8	4
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:24 2017	1494352344	2	6	8	6
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:25 2017	1494352345	2	5	8	5
Tue May 09 19:52:25 2017	1494352345	2	6	8	6
Tue May 09 19:52:24 2017	1494352344	2	6	8	4
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	2	6	8	5
Tue May 09 19:52:24 2017	1494352344	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	0	8	8	7
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:25 2017	1494352345	0	8	8	7
Tue May 09 19:52:24 2017	1494352344	3	5	8	3
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	4	4	8	3
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	3	5	8	5
Tue May 09 19:52:25 2017	1494352345	2	6	8	6
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:24 2017	1494352344	2	6	8	4
Tue May 09 19:52:25 2017	1494352345	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	1	6	8	6
Tue May 09 19:52:25 2017	1494352345	3	5	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	7
Tue May 09 19:52:25 2017	1494352345	0	8	8	7
Tue May 09 19:52:24 2017	1494352344	2	6	8	6
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:25 2017	1494352345	2	6	8	5
Tue May 09 19:52:25 2017	1494352345	1	7	8	5
Tue May 09 19:52:25 2017	1494352345	3	5	8	5
Tue May 09 19:52:25 2017	1494352345	0	8	8	8
Tue May 09 19:52:25 2017	1494352345	0	8	8	8
Tue May 09 19:52:25 2017	1494352345	1	7	8	6
Tue May 09 19:52:25 2017	1494352345	2	6	8	6
Tue May 09 19:52:25 2017	1494352345	4	4	8	3
Tue May 09 19:52:25 2017	1494352345	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	2	6	8	4
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:24 2017	1494352344	1	7	8	7
Tue May 09 19:52:25 2017	1494352345	3	5	8	5
Tue May 09 19:52:24 2017	1494352344	3	5	8	4
