starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 23:08:27 2017	1494364107	0	118	118	118
Tue May 09 23:08:27 2017	1494364107	0	118	118	118
Tue May 09 23:08:27 2017	1494364107	0	118	118	118
Tue May 09 23:08:27 2017	1494364107	0	118	118	118
Tue May 09 23:08:27 2017	1494364107	0	118	118	118
Tue May 09 23:08:27 2017	1494364107	0	118	118	118
Tue May 09 23:08:27 2017	1494364107	0	118	118	118
Tue May 09 23:08:27 2017	1494364107	0	118	119	118
Tue May 09 23:08:27 2017	1494364107	0	119	119	119
Tue May 09 23:08:28 2017	1494364108	0	119	119	119
Tue May 09 23:08:27 2017	1494364107	0	119	119	119
Tue May 09 23:08:27 2017	1494364107	0	119	119	119
Tue May 09 23:08:27 2017	1494364107	0	119	119	119
Tue May 09 23:08:27 2017	1494364107	0	120	120	120
Tue May 09 23:08:27 2017	1494364107	0	120	120	120
Tue May 09 23:08:26 2017	1494364106	0	120	120	120
Tue May 09 23:08:26 2017	1494364106	0	120	120	120
Tue May 09 23:08:27 2017	1494364107	0	120	120	120
Tue May 09 23:08:26 2017	1494364106	0	120	120	120
Tue May 09 23:08:28 2017	1494364108	0	120	120	120
Tue May 09 23:08:26 2017	1494364106	0	120	120	120
Tue May 09 23:08:28 2017	1494364108	0	120	120	120
Tue May 09 23:08:27 2017	1494364107	0	120	120	120
Tue May 09 23:08:26 2017	1494364106	0	120	120	120
Tue May 09 23:08:27 2017	1494364107	0	121	121	121
Tue May 09 23:08:26 2017	1494364106	0	121	121	121
Tue May 09 23:08:27 2017	1494364107	0	121	121	121
Tue May 09 23:08:26 2017	1494364106	0	122	122	122
Tue May 09 23:08:27 2017	1494364107	0	122	122	122
Tue May 09 23:08:27 2017	1494364107	0	122	122	122
Tue May 09 23:08:27 2017	1494364107	0	122	122	122
Tue May 09 23:08:26 2017	1494364106	0	122	122	122
Tue May 09 23:08:27 2017	1494364107	0	122	122	122
Tue May 09 23:08:28 2017	1494364108	0	122	122	122
Tue May 09 23:08:26 2017	1494364106	0	122	122	122
Tue May 09 23:08:26 2017	1494364106	0	123	123	123
Tue May 09 23:08:26 2017	1494364106	0	123	123	123
Tue May 09 23:08:26 2017	1494364106	0	123	123	123
Tue May 09 23:08:26 2017	1494364106	0	123	123	123
Tue May 09 23:08:26 2017	1494364106	0	123	123	123
Tue May 09 23:08:26 2017	1494364106	0	124	124	124
